"LOCATION","VAR","TIME","Unit Code","PowerCode Code","PowerCode","Value"
"USA","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",34.65
"AUS","BB-P100-DSL","2016","100HAB",0,"Unités",21.195
"AUS","BB-P100-DSL","2016-Q2","100HAB",0,"Unités",21.558
"AUS","BB-P100-DSL","2016-Q4","100HAB",0,"Unités",21.195
"AUS","BB-P100-DSL","2017","100HAB",0,"Unités",21.029
"AUS","BB-P100-DSL","2017-Q2","100HAB",0,"Unités",21.246
"AUS","BB-P100-DSL","2017-Q4","100HAB",0,"Unités",21.029
"AUS","BB-P100-DSL","2018","100HAB",0,"Unités",19.482
"AUS","BB-P100-DSL","2018-Q2","100HAB",0,"Unités",21.308
"AUS","BB-P100-DSL","2018-Q4","100HAB",0,"Unités",19.482
"AUS","BB-P100-DSL","2019","100HAB",0,"Unités",18.345
"AUS","BB-P100-DSL","2019-Q2","100HAB",0,"Unités",19.494
"AUS","BB-P100-DSL","2019-Q4","100HAB",0,"Unités",18.345
"AUT","BB-P100-DSL","2016","100HAB",0,"Unités",18.692
"AUT","BB-P100-DSL","2016-Q2","100HAB",0,"Unités",18.687
"AUT","BB-P100-DSL","2016-Q4","100HAB",0,"Unités",18.692
